Country,Company
Benin,be. Telecoms (Benin Telecoms) (Closed Q4 2022)
Bermuda,CellOne Bermuda
Bermuda,Digicel
Bermuda,Digicel Bermuda
Bermuda,M3 Wireless (Merged Q2 2011)
Bermuda,One Communications (ATN)
Bermuda,Paradise Mobile
Bermuda,The Bermuda Telephone Company
Bhutan,B-Mobile (Bhutan Telecom)
Bhutan,Bhutan Telecom
Bhutan,Tashi Infocomm
Bhutan,TashiCell
Bolivia,Cotas
Bolivia,Entel
Bolivia,Entel Bolivia
Bolivia,Tigo (Millicom)
Bolivia,Tigo Bolivia
Bolivia,VIVA (Balesia Technologies)
Bolivia,Viva Bolivia
Bonaire; Sint Eustatius and Saba,Digicel
Bonaire; Sint Eustatius and Saba,East Caribbean Cellular (Closed Q4 2010)
Bonaire; Sint Eustatius and Saba,Flow (Liberty Latin America)
Bonaire; Sint Eustatius and Saba,Kla Mobile (Telbo)
Bonaire; Sint Eustatius and Saba,Telbo (Merged Q4 2006)
Bosnia & Herzegovina,BH Telecom
Bosnia & Herzegovina,Blicnet
Bosnia & Herzegovina,Elta-Kabel
Bosnia & Herzegovina,HT Eronet
Bosnia & Herzegovina,Izi Mobil Bosnia Herzegovina
Bosnia & Herzegovina,Logosoft
Bosnia & Herzegovina,Telekom Srpske
Bosnia & Herzegovina,Telrad
Bosnia and Herzegovina,BH Telecom
Bosnia and Herzegovina,HT Eronet (HT Mostar)
Bosnia and Herzegovina,m:tel (Telekom Srpske)
Botswana,Botswana Telecom
Botswana,Mascom (MTN)
Botswana,Mascom Wireless
Botswana,Orange
Botswana,Orange Botswana
Botswana,btc
Brazil,Algar Telecom
Brazil,Algar Telecom Leste
Brazil,Amazonia (Merged Q2 2008)
Brazil,Amazonia Celular
Brazil,Americel
Brazil,BCP
Brazil,BCP Nordeste
Brazil,Brasil Telecom (Merged Q1 2009)
Brazil,Claro
Brazil,Claro (America Movil)
Brazil,Claro - ATL/Algar (Merged Q4 2002)
Brazil,Claro - Americel (Merged Q4 2002)
Brazil,Claro - BCP (Merged Q4 2003)
Brazil,Claro - BSE (Merged Q2 2003)
Brazil,Claro - Telet (Merged Q4 2002)
Brazil,Claro - Tess (Merged Q4 2002)
Brazil,Claro Brazil
Brazil,Datora Telecom
Brazil,GVT (Vivendi) (Merged Q2 2015)
Brazil,J. Safra Telecomunicacoes
Brazil,Nextel (America Movil) (Merged Q4 2019)
Brazil,Nextel Brazil
Brazil,Norte Brasil Telecom
Brazil,Oi
Brazil,On Telecom
Brazil,Other
Brazil,Others Brazil
Brazil,Porto Conecta
Brazil,Sercomtel
Brazil,Sky
Brazil,Surf Telecom
Brazil,TIM
Brazil,TIM (Telecom Italia)
Brazil,TIM Brazil
Brazil,TIM Celular
Brazil,TIM Celular (Merged Q1 2006)
Brazil,TIM Maxitel (Merged Q1 2006)
Brazil,TIM Nordeste
Brazil,TIM Norte
Brazil,TIM Participações
Brazil,TIM Sul
Brazil,TIM Sul SA
Brazil,TIM TCS (Merged Q1 2006)
Brazil,TIM TNC (Merged Q1 2006)
Brazil,Tele Celular Sul Participacoes
Brazil,Tele Leste Celular Participações
Brazil,Tele Nordeste Celular
Brazil,Tele Norte Celular Participações
Brazil,Tele Sudeste Celular Participacoes
Brazil,Telebras
Brazil,Telefónica Brazil
Brazil,Telemig (Holding)
Brazil,Telemig (Merged Q2 2008)
Brazil,Telemig Celular
Brazil,Telesp Celular
Brazil,Telet
Brazil,Telma Celular
Brazil,Tess Celular
Brazil,Unicel Brazil
Brazil,Vivo
